fragment1,fragment2,cloneType,lineSimilarity
"|project://assignment2/data/large/1098324.java|(32811,868,<712,4>,<737,5>)","|project://assignment2/data/large/1802351.java|(32772,851,<708,4>,<733,5>)",type3(),82
"|project://assignment2/data/large/1098324.java|(45362,1409,<1085,8>,<1118,9>)","|project://assignment2/data/large/2430560.java|(40402,1328,<942,8>,<974,9>)",type3(),71
"|project://assignment2/data/large/47340.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/57755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/1098324.java|(32811,868,<712,4>,<737,5>)","|project://assignment2/data/large/1802351.java|(33629,868,<735,4>,<760,5>)",type1(),100
"|project://assignment2/data/large/105863.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/130398.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/70893.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/47340.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(35071,1170,<765,4>,<794,5>)","|project://assignment2/data/large/1802351.java|(35910,1162,<799,4>,<828,5>)",type1(),100
"|project://assignment2/data/large/57055.java|(5113,558,<159,4>,<173,5>)","|project://assignment2/data/large/104755.java|(5113,558,<159,4>,<173,5>)",type1(),100
"|project://assignment2/data/large/2481579.java|(46760,1409,<1143,8>,<1176,9>)","|project://assignment2/data/large/2599719.java|(40419,1328,<942,8>,<974,9>)",type3(),71
"|project://assignment2/data/large/105863.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/75612.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/209298.java|(13376,2661,<213,4>,<261,5>)","|project://assignment2/data/large/126904.java|(14413,2661,<243,4>,<291,5>)",type1(),100
"|project://assignment2/data/large/32798.java|(2268,3822,<90,4>,<172,5>)","|project://assignment2/data/large/103968.java|(2268,3822,<90,4>,<172,5>)",type1(),100
"|project://assignment2/data/large/77601.java|(2387,729,<75,4>,<91,5>)","|project://assignment2/data/large/132075.java|(2387,729,<75,4>,<91,5>)",type1(),100
"|project://assignment2/data/large/14833.java|(588,628,<19,4>,<34,5>)","|project://assignment2/data/large/12148.java|(588,628,<19,4>,<34,5>)",type1(),100
"|project://assignment2/data/large/104755.java|(4099,455,<126,4>,<138,5>)","|project://assignment2/data/large/10640.java|(4099,455,<126,4>,<138,5>)",type1(),100
"|project://assignment2/data/large/1109590.java|(35079,732,<996,4>,<1014,5>)","|project://assignment2/data/large/1109590.java|(32466,1472,<925,4>,<963,5>)",type3(),73
