fragment1,fragment2,cloneType,lineSimilarity
"|project://assignment2/data/small/927691.java|(45719,520,<1122,8>,<1135,9>)","|project://assignment2/data/small/438322.java|(48087,499,<1232,8>,<1245,9>)",type1(),100
"|project://assignment2/data/small/438322.java|(14505,2658,<277,4>,<332,5>)","|project://assignment2/data/small/927691.java|(9802,2661,<162,4>,<210,5>)",type3(),96
"|project://assignment2/data/small/438322.java|(24285,2982,<547,4>,<603,5>)","|project://assignment2/data/small/927691.java|(20286,2990,<427,4>,<478,5>)",type3(),96
"|project://assignment2/data/small/438322.java|(37043,1058,<887,4>,<917,5>)","|project://assignment2/data/small/438322.java|(35979,1058,<855,4>,<885,5>)",type2(),100
"|project://assignment2/data/small/927691.java|(37470,2577,<893,8>,<958,9>)","|project://assignment2/data/small/438322.java|(40210,2488,<995,8>,<1059,9>)",type3(),95
"|project://assignment2/data/small/927691.java|(25235,1987,<535,4>,<586,5>)","|project://assignment2/data/small/438322.java|(29214,1719,<664,4>,<708,5>)",type3(),72
"|project://assignment2/data/small/438322.java|(32742,810,<767,4>,<791,5>)","|project://assignment2/data/small/438322.java|(31943,793,<741,4>,<765,5>)",type3(),78
"|project://assignment2/data/small/927691.java|(41963,1428,<1026,8>,<1059,9>)","|project://assignment2/data/small/927691.java|(36112,1348,<859,8>,<891,9>)",type3(),71
"|project://assignment2/data/small/927691.java|(28376,859,<624,4>,<649,5>)","|project://assignment2/data/small/438322.java|(31943,793,<741,4>,<765,5>)",type3(),76
"|project://assignment2/data/small/927691.java|(32714,1191,<746,4>,<780,5>)","|project://assignment2/data/small/927691.java|(33911,1191,<782,4>,<816,5>)",type2(),100
"|project://assignment2/data/small/927691.java|(40057,838,<960,8>,<980,9>)","|project://assignment2/data/small/438322.java|(42708,823,<1061,8>,<1084,9>)",type1(),100
"|project://assignment2/data/small/927691.java|(27228,1142,<588,4>,<622,5>)","|project://assignment2/data/small/438322.java|(30939,998,<710,4>,<739,5>)",type3(),70
"|project://assignment2/data/small/927691.java|(29241,876,<651,4>,<676,5>)","|project://assignment2/data/small/927691.java|(28376,859,<624,4>,<649,5>)",type3(),82
"|project://assignment2/data/small/438322.java|(34888,1085,<827,4>,<853,5>)","|project://assignment2/data/small/927691.java|(31538,1170,<715,4>,<744,5>)",type3(),80
"|project://assignment2/data/small/438322.java|(21287,2992,<461,4>,<545,5>)","|project://assignment2/data/small/927691.java|(16958,3322,<340,4>,<425,5>)",type3(),77
"|project://assignment2/data/small/927691.java|(41963,1428,<1026,8>,<1059,9>)","|project://assignment2/data/small/438322.java|(44500,1306,<1129,8>,<1166,9>)",type3(),92
"|project://assignment2/data/small/927691.java|(36112,1348,<859,8>,<891,9>)","|project://assignment2/data/small/438322.java|(38996,1204,<958,8>,<993,9>)",type3(),91
"|project://assignment2/data/small/438322.java|(37043,1058,<887,4>,<917,5>)","|project://assignment2/data/small/927691.java|(33911,1191,<782,4>,<816,5>)",type3(),70
"|project://assignment2/data/small/438322.java|(35979,1058,<855,4>,<885,5>)","|project://assignment2/data/small/927691.java|(33911,1191,<782,4>,<816,5>)",type3(),70
"|project://assignment2/data/small/927691.java|(43401,1658,<1061,8>,<1101,9>)","|project://assignment2/data/small/438322.java|(45816,1601,<1168,8>,<1207,9>)",type1(),100
"|project://assignment2/data/small/927691.java|(32714,1191,<746,4>,<780,5>)","|project://assignment2/data/small/438322.java|(35979,1058,<855,4>,<885,5>)",type3(),70
"|project://assignment2/data/small/927691.java|(23282,1625,<480,4>,<521,5>)","|project://assignment2/data/small/438322.java|(27273,1625,<605,4>,<649,5>)",type1(),100
"|project://assignment2/data/small/927691.java|(7849,769,<110,4>,<130,5>)","|project://assignment2/data/small/438322.java|(12590,753,<222,4>,<242,5>)",type1(),100
"|project://assignment2/data/small/438322.java|(32742,810,<767,4>,<791,5>)","|project://assignment2/data/small/927691.java|(29241,876,<651,4>,<676,5>)",type3(),76
"|project://assignment2/data/small/438322.java|(47427,650,<1209,8>,<1230,9>)","|project://assignment2/data/small/927691.java|(45069,640,<1103,8>,<1120,9>)",type1(),100
"|project://assignment2/data/small/927691.java|(32714,1191,<746,4>,<780,5>)","|project://assignment2/data/small/438322.java|(37043,1058,<887,4>,<917,5>)",type3(),70
"|project://assignment2/data/small/438322.java|(33558,1324,<793,4>,<825,5>)","|project://assignment2/data/small/927691.java|(30123,1409,<678,4>,<713,5>)",type3(),85
